Značka,Model,Objem (l),Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW)
Peugeot,408,1.2,2025,0,759900,Hybridní,Automatická,107
Peugeot,5008,1.5,2021,114420,570000,Nafta,Automatická,96
Peugeot,5008,1.5,2025,0,897000,Nafta,Automatická,96
Peugeot,5008,2.0,2021,99336,695000,Nafta,Automatická,130
Peugeot,Rifter,1.5,2021,61000,515000,Nafta,Manuální,96
Peugeot,5008,1.5,2020,73729,580000,Nafta,Automatická,96
Peugeot,408,1.2,2024,1,710000,Hybridní,Automatická,100
Peugeot,408,1.2,2025,0,760000,Hybridní,Automatická,100
Peugeot,Boxer,2.2,2019,87000,599877,Nafta,Manuální,103
Peugeot,5008,1.2,2024,9319,879900,Hybridní,Automatická,100
Peugeot,Rifter,1.5,2024,1,669000,Nafta,Manuální,75
Peugeot,Traveller,2.0,2020,40808,849000,Nafta,Automatická,130
Peugeot,5008,1.2,2025,2,826320,Hybridní,Automatická,100
Peugeot,3008,1.5,2023,34754,749900,Nafta,Automatická,96
Peugeot,2008,1.2,2020,16065,500000,Benzín,Manuální,96
Peugeot,2008,1.2,2025,1,539900,Benzín,Manuální,96
Peugeot,Traveller,2.0,2018,78791,559000,Nafta,Manuální,110
Peugeot,5008,1.2,2021,84843,569900,Benzín,Automatická,96
Peugeot,3008,1.6,2023,9207,769900,Hybridní,Automatická,133
Peugeot,5008,1.5,2024,1,879000,Nafta,Automatická,96
Peugeot,2008,1.2,2025,1,619000,Hybridní,Automatická,100
Peugeot,2008,1.2,2025,1,540000,Benzín,Manuální,74
Peugeot,5008,2.0,2020,94025,589900,Nafta,Automatická,130
Peugeot,5008,1.5,2024,21117,799900,Nafta,Automatická,96
Peugeot,3008,1.5,2024,19014,749900,Nafta,Automatická,96
Peugeot,5008,1.2,2025,10,865000,Hybridní,Automatická,100
Renault,Clio,1.1,2010,46910,110000,Benzín,Manuální,55
Renault,Megane,1.2,2017,129000,229900,Benzín,Manuální,97
Renault,Grand Espace,2.0,2009,163261,199990,LPG + benzín,Automatická,125
Renault,Megane,1.5,2005,160707,50000,Nafta,Manuální,60
Renault,Espace,1.6,2015,154111,325000,Nafta,Manuální,96
Renault,Clio,1.0,2023,28600,340000,Benzín,Manuální,67
Renault,Clio,1.0,2022,26097,350000,Benzín,Manuální,67
Renault,Megane,1.3,2019,68000,375000,Benzín,Manuální,117
Renault,Megane,1.5,2021,43567,350000,Nafta,Manuální,85
Renault,Trafic,1.6,2019,165000,399900,Nafta,Manuální,92
Renault,Megane,1.6,2018,105378,369000,Benzín,Automatická,151
Renault,Clio,1.1,2018,61225,170000,Benzín,Manuální,54
Renault,Austral,1.3,2025,3,754160,Benzín,Automatická,117
Renault,Clio,0.9,2013,114458,145000,Benzín,Manuální,66
Renault,Clio,1.1,2008,79333,75000,Benzín,Manuální,74
Renault,Clio,1.1,2016,90366,129900,Benzín,Manuální,54
Renault,Megane,1.2,2015,118810,165000,Benzín,Manuální,85
Renault,Trafic,2.0,2008,187000,269000,Nafta,Automatická,84
Renault,Megane,1.5,2013,123091,138000,Nafta,Manuální,81
Renault,Megane,1.5,2021,62110,344900,Nafta,Manuální,85
Renault,Megane,1.6,2017,136370,250000,Nafta,Manuální,96
Renault,Laguna,2.0,2006,215000,40000,Benzín,Manuální,99
Renault,Clio,1.0,2022,12357,315000,Benzín,Manuální,67
Renault,Laguna,2.0,2011,186500,100000,Nafta,Manuální,117
Renault,Laguna,2.0,2007,178785,69990,Benzín,Manuální,99
Renault,Megane,1.6,2010,164139,69990,Benzín,Manuální,74
Renault,Scenic,1.6,2013,128930,165000,Benzín,Manuální,81
Renault,Scenic,1.6,2012,250603,79990,Benzín,Manuální,81
Renault,Scenic,1.4,2012,149539,178000,Benzín,Manuální,96
Renault,Kangoo,1.5,2009,107896,99990,Nafta,Manuální,50
Renault,Megane,0.0,2009,86036,79990,Benzín,Manuální,74
