Značka,Model,Objem (l),Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Zdroj
Subaru,Legacy,2.0,2002,291768,49900,Benzín,Manuální,92,Sauto
Mazda,2,1.2,2005,252854,49900,Benzín,Manuální,55,Sauto
Honda,City,1.3,2008,86690,49990,Benzín,Manuální,61,Sauto
Citroen,Xsara Picasso,1.6,2010,215083,49990,Nafta,Manuální,66,Sauto
Honda,Hr V,2.6,2000,207000,49990,Benzín,Manuální,77,Sauto
Citroen,C4 Picasso,1.6,2008,224318,49990,Nafta,Automatická,80,Sauto
Renault,Megane,1.6,2005,168000,49990,Benzín,Automatická,83,Sauto
Fiat,Grande Punto,1.4,2006,130000,49994,Benzín,Manuální,57,Sauto
Seat,Leon,1.9,2007,300417,49999,Nafta,Manuální,77,Sauto
Nissan,Note,1.5,2012,261789,49999,Nafta,Manuální,66,Sauto
Honda,Cr V,2.0,1998,233485,49999,Benzín,Manuální,94,Sauto
Nissan,Qashqai,2.0,2007,269558,49999,Nafta,Manuální,110,Sauto
Citroen,C4,1.6,2005,286477,49999,Nafta,Manuální,66,Sauto
Subaru,Legacy,2.0,2004,210000,49999,Benzín,Manuální,101,Sauto
Mitsubishi,Colt,1.3,2012,72600,49999,Benzín,Manuální,70,Sauto
Fiat,Panda,1.1,2009,88809,49999,Benzín,Manuální,40,Sauto
Volkswagen,Polo,1.4,2004,217000,49999,Benzín,Manuální,55,Sauto
Citroën,Xsara,1.6,2004,172768,50000,nafta,manual,80,Autoesa
Renault,Megane,1.5,2005,160707,50000,Nafta,Manuální,60,Sauto
Mazda,6,2.0,2007,244347,50000,Nafta,Manuální,105,Sauto
Mazda,5,2.0,2007,310000,50000,Nafta,Manuální,105,Sauto
Mazda,6,2.2,2009,388100,50000,Nafta,Manuální,120,Sauto
Peugeot,307,1.6,2007,143430,50000,Benzín,Manuální,80,Sauto
Seat,Leon,1.9,2002,271737,50000,nafta,manual,66,Autoesa
Mitsubishi,Colt,1.3,2007,88717,50000,Benzín,Manuální,70,Sauto
Renault,Megane,1.6,2004,175000,50000,Benzín,Manuální,83,Sauto
Opel,Corsa,1.3,2007,202711,50000,Benzín,Manuální,59,Sauto
