Značka,Model,Objem (l),Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Stari
Mitsubishi,Space Star,1.3,105800,49900,Benzin,Manualni,60,21
Subaru,Legacy,2.0,291768,49900,Benzin,Manualni,92,23
Mazda,2,1.2,252854,49900,Benzin,Manualni,55,20
Honda,City,1.3,86690,49990,Benzin,Manualni,61,17
Citroen,Xsara Picasso,1.6,215083,49990,Nafta,Manualni,66,15
Honda,Hr V,2.6,207000,49990,Benzin,Manualni,77,25
Citroen,C4 Picasso,1.6,224318,49990,Nafta,Automaticka,80,17
Renault,Megane,1.6,168000,49990,Benzin,Automaticka,83,20
Fiat,Grande Punto,1.4,130000,49994,Benzin,Manualni,57,19
Seat,Leon,1.9,300417,49999,Nafta,Manualni,77,18
Nissan,Note,1.5,261789,49999,Nafta,Manualni,66,13
Honda,Cr V,2.0,233485,49999,Benzin,Manualni,94,27
Nissan,Qashqai,2.0,269558,49999,Nafta,Manualni,110,18
Citroen,C4,1.6,286477,49999,Nafta,Manualni,66,20
Subaru,Legacy,2.0,210000,49999,Benzin,Manualni,101,21
Mitsubishi,Colt,1.3,72600,49999,Benzin,Manualni,70,13
Fiat,Panda,1.1,88809,49999,Benzin,Manualni,40,16
Volkswagen,Polo,1.4,217000,49999,Benzin,Manualni,55,21
Citroen,Xsara,1.6,172768,50000,Nafta,Manualni,80,21
Renault,Megane,1.5,160707,50000,Nafta,Manualni,60,20
Mazda,6,2.0,244347,50000,Nafta,Manualni,105,18
Mazda,5,2.0,310000,50000,Nafta,Manualni,105,18
Mazda,6,2.2,388100,50000,Nafta,Manualni,120,16
Peugeot,307,1.6,143430,50000,Benzin,Manualni,80,18
Seat,Leon,1.9,271737,50000,Nafta,Manualni,66,23
Mitsubishi,Colt,1.3,88717,50000,Benzin,Manualni,70,18
Renault,Megane,1.6,175000,50000,Benzin,Manualni,83,21
Opel,Corsa,1.3,202711,50000,Benzin,Manualni,59,18
Renault,Megane,1.6,187904,50000,Benzin,Manualni,83,20
Toyota,Auris,1.6,132915,50000,Benzin,Automaticka,91,17
Renault,Megane,1.6,157168,50000,Benzin,Manualni,82,19
Ford,Focus,1.8,184259,50000,Benzin,Manualni,92,17
Mini,Cooper,1.6,207970,50000,Benzin,Manualni,85,19
Mazda,6,2.0,244347,50000,Nafta,Manualni,105,18
Mazda,MPV,2.0,274832,50000,Nafta,Manualni,100,23
Subaru,Legacy,2.0,204155,50000,Nafta,Manualni,110,15
Skoda,Fabia,1.2,199106,50000,Benzin,Manualni,51,17
Nissan,Pixo,1.0,66042,50000,Benzin,Manualni,50,12
Hyundai,Tucson,2.0,181553,50000,Benzin,Manualni,104,19
Dacia,Logan,1.4,161588,50000,Benzin,Manualni,55,19
Subaru,Justy,1.0,141481,52000,Benzin,Manualni,51,16
Kia,Carens,1.6,157218,52000,Benzin,Manualni,77,19
Peugeot,206,1.4,145440,53000,Benzin,Manualni,55,15
Mini,Cooper,1.6,254184,53000,Benzin,Manualni,85,22
Honda,Civic,1.4,187451,53999,Benzin,Manualni,66,20
Peugeot,407,2.0,233420,54000,Nafta,Manualni,100,17
Toyota,Avensis,2.0,320000,54000,Nafta,Manualni,93,17
Peugeot,206,1.1,118640,54000,Benzin,Manualni,44,16
Mini,One,1.4,230000,54000,Nafta,Manualni,55,22
Mazda,3,1.6,185674,54900,Benzin,Manualni,77,19
Subaru,Forester,2.0,253906,54900,Benzin,Manualni,116,19
Mazda,5,1.8,183000,54900,Benzin,Manualni,85,18
BMW,Rada 1,2.0,303669,54990,Nafta,Manualni,90,20
Renault,Scenic,1.5,299800,55000,Nafta,Manualni,78,16
Renault,Thalia,1.1,122802,55000,Benzin,Manualni,55,16
Ford,CMAX,2.0,245200,55000,Nafta,Manualni,100,15
Nissan,Note,1.5,118324,55000,Nafta,Manualni,63,19
