Značka,Model,Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Zdroj
Volkswagen,Passat,2021,150000,469000,Nafta,Automatická,110,Sauto
Ford,Focus,2022,63838,469000,Benzín,Automatická,110,Sauto
Peugeot,508,2022,54112,469000,Benzín,Automatická,96,Sauto
Volvo,S90,2017,138736,469000,Benzín,Automatická,187,Sauto
Kia,Xcee D,2020,41000,469000,Benzín,Manuální,117,Sauto
Hyundai,I30,2019,103862,469000,Benzín,Manuální,202,Sauto
Citroen,Spacetourer,2018,171844,469000,Nafta,Manuální,85,Sauto
Porsche,928,1982,74263,469000,Benzín,Automatická,170,Sauto
Škoda,Superb,2017,140016,469000,nafta,automat,140,Autoesa
Ford,S Max,2021,141000,469000,Nafta,Automatická,110,Sauto
Hyundai,Kona,2023,3330,469900,Benzín,Automatická,88,Sauto
Mazda,Cx 3,2021,27365,469900,Benzín,Manuální,89,Sauto
Mazda,Cx 30,2019,88562,469900,Benzín,Manuální,90,Sauto
Bmw,X5,2014,118100,469900,Nafta,Automatická,160,Sauto
Kia,Picanto,2025,5,469900,Benzín,Automatická,58,Sauto
Seat,Leon,2021,55093,469900,Benzín,Manuální,110,Sauto
Kia,Sorento,2016,124000,469900,Nafta,Automatická,147,Sauto
Renault,Espace,2018,143550,469900,Nafta,Automatická,118,Sauto
Volkswagen,Passat,2020,120500,469900,Nafta,Manuální,110,Sauto
Skoda,Karoq,2019,172359,469900,Benzín,Automatická,110,Sauto
Nissan,200 Sx,1990,54298,469900,Benzín,Manuální,124,Sauto
Hyundai,I30,2022,35443,469900,Nafta,Manuální,100,Sauto
Land Rover,Discovery,2016,210000,469990,Nafta,Automatická,188,Sauto
Porsche,Cayenne,2012,194000,469990,Benzín,Automatická,368,Sauto
Renault,Kadjar,2022,46131,469990,Benzín,Manuální,103,Sauto
Mazda,3,2020,64756,469990,Benzín,Manuální,132,Sauto
Hyundai,Tucson,2020,97353,469990,Nafta,Automatická,100,Sauto
Peugeot,Rifter,2019,67018,469999,Benzín,Manuální,81,Sauto
Audi,A6,2017,162313,469999,Nafta,Automatická,200,Sauto
Bmw,X1,2020,116017,469999,Benzín,Automatická,103,Sauto
Mazda,Cx 30,2020,96000,469999,Benzín,Manuální,132,Sauto
Land Rover,Range Rover Evoque,2017,74300,469999,Nafta,Automatická,110,Sauto
Opel,Insignia,2019,68506,469999,Nafta,Automatická,154,Sauto
Renault,Koleos,2020,117423,469999,Nafta,Automatická,110,Sauto
Mazda,6,2018,79991,469999,Benzín,Manuální,121,Sauto
Audi,A6 Avant,2015,205160,470000,Nafta,Automatická,235,Sauto
Skoda,Octavia,2021,167504,470000,Hybridní,Automatická,150,Sauto
Audi,A6 Allroad,2014,187330,470000,Nafta,Automatická,230,Sauto
Volkswagen,Tiguan,2018,112609,470000,nafta,manual,110,Autoesa
Volvo,Xc40,2019,105500,470000,Nafta,Manuální,110,Sauto
Opel,Mokka,2022,59200,470000,Elektro,Automatická,100,Sauto
Audi,A6 Avant,2015,125886,470000,Nafta,Automatická,140,Sauto
Seat,Ateca,2017,67815,470000,Benzín,Manuální,110,Sauto
Audi,A4,2017,189896,470000,Nafta,Automatická,200,Sauto
Renault,Koleos,2019,116609,470000,nafta,automat,110,Autoesa
Land Rover,Range Rover Evoque,2015,43853,470000,Nafta,Automatická,110,Sauto
Peugeot,3008,2020,141931,470000,Nafta,Automatická,96,Sauto
Mazda,Cx 30,2021,75000,470000,Benzín,Manuální,90,Sauto
Audi,A4,2017,189896,470000,nafta,automat,200,Autoesa
Volvo,Xc60,2015,135000,470000,Nafta,Automatická,162,Sauto
Bmw,Rada 3,2018,120074,470000,Nafta,Automatická,140,Sauto
Volkswagen,Tiguan,2018,112609,470000,Nafta,Manuální,110,Sauto
Jeep,Wrangler,2010,227480,470000,Nafta,Automatická,130,Sauto
Mercedes Benz,Tridy E,2013,210789,470000,Benzín,Automatická,155,Sauto
Seat,Leon,2021,36160,470000,Benzín,Manuální,96,Sauto
Nissan,Navara,2017,217107,470000,Nafta,Automatická,140,Sauto
Škoda,Kodiaq,2017,193272,470000,nafta,automat,110,Autoesa
Škoda,Octavia,2020,90237,470000,benzín,manual,110,Autoesa
Volkswagen,Passat Variant,2021,150000,471000,Nafta,Automatická,110,Sauto
Volkswagen,Passat,2020,156181,471000,Nafta,Automatická,110,Sauto
Jeep,Renegade,2019,99316,472000,Nafta,Manuální,103,Sauto
Škoda,Superb,2019,131251,473000,benzín,automat,200,Autoesa
Volkswagen,Sharan,2019,152676,474000,Nafta,Manuální,110,Sauto
Bmw,Rada 2,2020,150305,474000,Nafta,Automatická,140,Sauto
Peugeot,5008,2019,137070,474000,Nafta,Automatická,96,Sauto
Peugeot,2008,2025,1,474500,Benzín,Manuální,74,Sauto
Seat,Arona,2024,5,474868,Benzín,Manuální,70,Sauto
Kia,Picanto,2024,0,474980,Benzín,Automatická,58,Sauto
Peugeot,208,2025,1,474990,Benzín,Manuální,74,Sauto
Mercedes-Benz,Třída,2016,119755,475000,nafta,automat,125,Autoesa
Opel,Insignia,2021,80821,475000,Nafta,Manuální,128,Sauto
Mercedes Benz,Ml,2014,283600,475000,Nafta,Automatická,190,Sauto
Land Rover,Discovery Sport,2017,111930,475000,Nafta,Automatická,110,Sauto
Audi,A4,2016,149565,475000,Nafta,Automatická,140,Sauto
Seat,Arona,2022,26989,475000,Benzín,Manuální,81,Sauto
Renault,Trafic,2021,37736,475000,nafta,manual,88,Autoesa
Audi,A4,2016,149565,475000,nafta,automat,140,Autoesa
Bmw,Rada 3,2019,140000,475000,Nafta,Automatická,100,Sauto
