Značka,Model,Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Stari
Renault,Scenic,214742,45000,Nafta,Manualni,96,19
Ford,Focus,181715,45000,Benzin,Manualni,59,20
Ford,Focus,157294,45000,Benzin,Manualni,85,20
Renault,Megane,230690,45000,Nafta,Manualni,96,18
Ford,Fiesta,191723,45000,Benzin,Manualni,55,17
Volkswagen,Polo,143369,46000,Benzin,Manualni,40,19
Seat,Alhambra,309022,46000,Nafta,Manualni,85,21
Nissan,Micra,225021,46000,Benzin,Manualni,59,21
Skoda,Fabia,143932,47000,Benzin,Manualni,47,18
Renault,Megane,225000,47000,Benzin,Manualni,82,17
Ford,Focus,242715,47000,Nafta,Manualni,66,17
Opel,Meriva,182799,47000,Benzin,Manualni,66,17
Renault,Clio,175780,47000,Benzin,Manualni,48,18
Renault,Clio,180000,47000,Benzin,Manualni,55,15
Opel,Meriva,254955,47000,Benzin,Manualni,66,20
Nissan,Almera,90800,48000,Benzin,Manualni,66,24
Renault,Megane,168021,48000,Benzin,Manualni,83,21
Nissan,Primera,127162,48000,Benzin,Manualni,85,22
Renault,Megane,168021,48000,Benzin,Manualni,83,21
Seat,Leon,299200,48000,Nafta,Manualni,77,17
Nissan,Primera,127162,48000,Benzin,Manualni,85,22
Citroen,Xsara,194000,48800,Benzin,Automaticka,80,22
Nissan,Almera Tino,246888,48900,Nafta,Manualni,82,19
Renault,Clio,145250,48999,Benzin,Manualni,55,15
Opel,Astra,290000,49000,Benzin,Manualni,77,20
Citroen,C5,208080,49000,Nafta,Manualni,100,20
Seat,Ibiza,141160,49000,Benzin,Manualni,47,20
Citroen,C4 Picasso,257400,49000,Benzin,Manualni,92,18
Land Rover,Freelander,239960,49000,Nafta,Manualni,72,27
Skoda,Fabia,118000,49000,Benzin,Manualni,47,19
Skoda,Fabia,165920,49000,Benzin,Manualni,44,18
Renault,Scenic,348415,49000,Benzin,Manualni,82,19
Renault,Modus,239000,49000,Benzin,Manualni,55,16
Seat,Ibiza,141160,49000,Benzin,Manualni,47,20
Citroen,Xsara,176005,49000,Nafta,Manualni,80,17
Opel,Insignia,201015,49000,Benzin,Manualni,85,15
Mazda,323,117693,49000,Benzin,Manualni,84,25
Citroen,C3,222441,49000,Nafta,Manualni,80,16
Renault,Megane,352200,49000,Nafta,Manualni,66,15
Opel,Insignia,201015,49000,Benzin,Manualni,85,15
Citroen,C4,131100,49000,Benzin,Manualni,65,16
Citroen,C3,129952,49000,Benzin,Manualni,54,20
Renault,Megane,151773,49000,Nafta,Automaticka,74,20
Nissan,Note,191800,49000,Nafta,Manualni,63,19
Seat,Leon,154600,49000,Benzin,Manualni,77,22
Renault,Megane,207308,49000,Benzin,Manualni,82,18
Citroen,C3,129952,49000,Benzin,Manualni,54,20
Nissan,Qashqai,214000,49000,Nafta,Manualni,78,18
Volkswagen,Fox,159467,49000,Benzin,Manualni,40,15
Peugeot,308,261779,49000,Nafta,Manualni,66,16
Peugeot,307,165574,49000,Benzin,Manualni,65,19
Ford,Focus,242906,49000,Benzin,Manualni,74,15
Citroen,C4 Picasso,235643,49000,Nafta,Manualni,80,17
Peugeot,308,146900,49000,Benzin,Manualni,70,16
Seat,Toledo,320968,49000,Nafta,Manualni,81,23
Kia,Rio,77000,49000,Benzin,Manualni,71,16
Kia,Cee D,195515,49000,Benzin,Manualni,80,16
Kia,Ceed,195515,49000,Benzin,Manualni,80,16
Renault,Scenic,210014,49000,Benzin,Manualni,99,21
